Local Interface    Parent Interface    Chassis Id          Port info          System Name
xe-3/0/1           -                   0c:59:9c:a7:07:14   xe-2/0/1           new-hostname.cox.net
xe-3/0/3           -                   0c:59:9c:a7:07:14   xe-2/0/3           new-hostname.cox.net
xe-3/0/4           -                   0c:59:9c:a7:07:14   xe-2/0/4           new-hostname.cox.net
xe-3/0/0           -                   0c:86:10:7b:70:00   xe-0/0/1           hcr01yrtnnvcv.netops.charter.com
et-1/0/6           ae2                 44:ec:ce:c8:1b:60   et-0/0/50          dvtcdodcl01_10136.cox.net
et-2/0/10          ae10                44:ec:ce:c8:e8:60   et-0/0/50          dvtcdodcl05_11042.cox.net
em0                -                   6c:62:fe:b6:81:d0   529                QNC-JTAC-LSW-M03-52 
et-1/0/12          ae12                9c:cc:83:d1:bf:3e   et-0/0/14          dvtcdospn01_11132.cox.net
et-2/0/0           -                   9c:cc:83:d1:bf:3e   et-0/0/18          dvtcdospn01_11132.cox.net
et-2/0/2           -                   9c:cc:83:d1:bf:3e   et-0/0/20          dvtcdospn01_11132.cox.net
et-2/0/4           -                   9c:cc:83:d1:bf:3e   et-0/0/22          dvtcdospn01_11132.cox.net
et-2/0/5           -                   b0:33:a6:13:01:00   et-0/0/49          dvtcdodcl04_10214.ultralab.juniper.net
et-1/0/3           ae3                 b0:33:a6:13:06:00   et-0/0/50          dvtcdodcl02_10135.cox.net
et-1/0/35          -                   b0:33:a6:13:ec:00   et-1/0/51          DE-CIT-MEA26-U118-CSW01.pfad.biz
